TransactionNo,Items
2574,Pastry
2575,"Bread, Tea, Pastry"
2576,"Coffee, Medialuna"
2577,"Coffee, Medialuna"
2578,Bread
2579,"Pastry, Bread"
2580,"Bread, Toast"
2581,"Bread, Medialuna, Toast"
2582,"Coffee, Scone, Pastry"
2583,"Coffee, Tea, Muffin, Muffin"
2584,"Coffee, Toast"
2585,"Coffee, Coffee, Medialuna, Pastry"
2586,"Bread, Ella's Kitchen Pouches"
2587,"Coffee, Toast"
2588,"Bread, Medialuna"
2589,"Hot chocolate, Tea"
2590,"Bread, Muffin"
2591,"Coffee, Bread, Coffee"
2592,Farm House
2593,"Coffee, Coffee"
2594,"Bread, Alfajores, Cookies"
2595,"Coffee, Medialuna, Pastry, Alfajores"
2596,"Bread, Coffee"
2597,Bread
2598,"Coffee, Truffles"
2599,"Coffee, Fudge, Fudge, Bread"
2600,Bread
2601,"Coffee, Bread"
2602,Bread
2603,"Coffee, Medialuna, Crepes, Alfajores"
2604,"Coffee, Coffee, Cake"
2605,"Bread, Coffee, Cake, Cookies"
2606,Coffee
2607,Bread
2608,Farm House
2609,Bread
2610,"Coffee, Medialuna"
2611,"Hot chocolate, Tea, Coffee, Coffee, Cake"
2612,"Tea, Hot chocolate, Truffles"
2613,"Hot chocolate, Hot chocolate, Hot chocolate"
2614,"Coffee, Coffee, Coffee, Sandwich, Crepes"
2615,"Bread, Crepes"
2616,"Bread, Muffin, Cake, Coffee, Medialuna"
2617,Coffee
2618,"Bread, Coffee, Cookies"
2619,"Medialuna, Crepes"
2620,Muffin
2621,"Medialuna, Tea"
2622,Pastry
2623,Tea
2624,"Coffee, Scone, Coffee"
2625,"Bread, Coffee, Coffee, Coffee"
2626,"Truffles, Tea"
2627,"Cookies, Cookies"
2628,Coffee
2629,Bread
2630,"Coffee, Bread, Toast, Pastry"
2631,Coffee
2632,Muffin
2633,Bread
2634,Farm House
2635,Coffee
2636,Bread
2637,Bread
2638,"Tea, Coffee, Pastry, Alfajores"
2639,"Coffee, Coffee, Toast, Medialuna"
2640,Coffee
2641,"Juice, Tea, Bread, Medialuna"
2642,"Medialuna, Coffee, Toast"
2643,"Pastry, Tea"
2644,Farm House
2645,"Coffee, Coffee"
2646,Coffee
2647,"Coffee, Coffee, Muffin"
2648,Coffee
2649,"Coffee, Muffin"
2650,"Coffee, Sandwich"
2651,"Dulce de Leche, Bread, Coffee, Pastry, Bread"
2652,Jam
2653,"Coffee, Coffee, Medialuna"
2654,"Cookies, Coffee, Pastry"
2655,Farm House
2656,Coffee
2657,Coffee
2659,"Bread, Pastry"
2660,"Juice, Sandwich"
2661,"Coffee, Coffee, Alfajores"
2662,"Coffee, Sandwich"
2663,Bread
2664,Bread
2665,"Bread, Tea, Medialuna"
2666,"Coffee, Muffin"
2667,"Cake, Tea"
2668,"Cookies, Coffee"
2669,"Hearty & Seasonal, Coke"
2670,"Coffee, Coffee, Muffin, Sandwich"
2671,Alfajores
2672,Alfajores
2673,"Sandwich, Coffee"
2674,"Hot chocolate, Coffee, Muffin, Sandwich"
2675,Muffin
2676,"Coffee, Tea, Bread"
2677,Coffee
2678,"Bread, Medialuna, Cookies, Tea"
2679,Coffee
2680,"Coffee, Bread, Coffee"
2681,"Alfajores, Alfajores, Coffee, Sandwich, Sandwich, Bread"
2682,"Coffee, Coffee, Bread, Cookies, Medialuna, Coffee"
2683,"Coffee, Cookies"
2684,Farm House
2685,Coffee
2686,Coke
2687,"Coffee, Bread"
2688,"Pastry, Bread"
2689,Coffee
2690,"Hot chocolate, Alfajores, Bread, Muffin"
2691,Coffee
2692,Bread
2693,"Coffee, Coffee"
2694,"Coffee, Coffee, Medialuna"
2695,Coffee
2696,"Pastry, Medialuna, Bread"
2697,"Muffin, Coffee, Coffee"
2698,Bread
2699,Bread
2700,"Bread, Coffee"
2701,"Bread, Tea"
2702,"Bread, Cookies, Muffin"
2703,"Tea, Coffee"
2704,"Medialuna, Pastry, Bread"
2705,"Coffee, Alfajores"
2706,Toast
2707,Coffee
2708,Tea
2709,"Hot chocolate, Medialuna"
2710,"Coffee, Pastry"
2711,Coffee
2712,"Cake, Bread"
2713,"Cake, Coffee"
2714,"Coffee, Hot chocolate, Pastry"
2715,Tea
2716,Bread
2717,Tea
2718,"Bread, Farm House"
2719,Coffee
2720,Bread
2721,Bread
2722,"Bread, Cookies"
2723,"Coffee, Bread"
2724,"Cookies, Coffee"
2725,Farm House
2726,Bread
2727,Coffee
2728,"Coffee, Tea, Sandwich, Muffin"
2729,"Coffee, Bread, Cake"
2730,Bread
2731,Tea
2732,"Tea, Coffee"
2733,Coffee
2734,"Sandwich, Tea, Alfajores"
2735,"Coffee, Mineral water, Alfajores, Cake, Sandwich"
2736,"Coffee, Bread"
2737,Coffee
2738,"Tea, Cake"
2739,Bread
2740,Cookies
2741,"Coffee, Juice"
2742,"Coffee, Muffin, Mineral water, Juice"
2743,Bread
2744,Bread
2745,Bread
2746,"Bread, Hot chocolate, Juice, Toast"
2747,"Coffee, Cake, Bread"
2748,"Coffee, Toast"
2749,"Coffee, Toast"
2750,Tea
2751,"Tea, Toast, Cookies"
2752,Farm House
2753,"Bread, Cake"
2754,Bread
2755,"Coffee, Coffee"
2756,"Tea, Alfajores"
2757,Bread
2758,Coffee
2759,"Juice, Coffee, Tea"
2760,"Coffee, Medialuna"
2761,Bread
2762,"Medialuna, Coffee"
2763,"Cake, Tea"
2764,"Bread, Coffee"
2765,Farm House
2766,Bread
2767,"Farm House, Crepes"
2768,Bread
2769,Hot chocolate
2770,"Coffee, Coffee, Hot chocolate, Sandwich"
2771,Sandwich
2772,"Coffee, Truffles"
2773,Jam
2774,Bread
2775,Bread
2776,"Sandwich, Coffee, Mineral water"
2777,Bread
2778,"Coke, Coke, Cookies"
2780,"Bread, Bread"
2781,"Coffee, Coffee, Sandwich"
2782,"Bread, Coffee"
2783,"Tea, Coffee"
2785,"Tea, Coffee"
2786,Hot chocolate
2787,"Coffee, Coffee, Alfajores"
2788,"Fudge, Jam, Cake, Coffee"
2789,Cake
2790,"Coffee, Bread"
2791,"Pastry, Coffee"
2792,"Coffee, Pastry"
2793,"Coffee, Pastry"
2794,"Truffles, Bread"
2795,Coffee
2796,Coffee
2797,"Coffee, Toast, Vegan mincepie, Mineral water, Coffee"
2798,"Medialuna, Bread"
2799,"Coffee, Cake"
2800,"Coffee, Pastry"
2801,Coffee
2802,Coffee
2803,"Bread, Cake, Cookies"
2804,"Coffee, Tea, Bread, Cake"
2805,"Toast, Juice"
2806,Bread
2807,"Pastry, Pastry"
2808,Coffee
2809,Truffles
2810,Tea
2811,Bread
2812,Farm House
2813,"Coffee, Cake"
2814,"Coffee, Sandwich"
2815,Tea
2816,"Hearty & Seasonal, Tea"
2817,Coffee
2818,Coffee
2819,"Tea, Cake"
2820,Farm House
2821,Coffee
2822,Coffee
2823,Bread
2824,"Coffee, Cake"
2825,Cake
2826,"Alfajores, Medialuna, Brownie"
2827,Bread
2828,Bread
2829,"Bread, Jam"
2830,"Tea, Sandwich"
2831,"Coffee, Medialuna, Juice, Coke"
2832,"Toast, Coffee, Bread"
2833,"Bread, Coffee, Toast"
2834,"Bread, Coffee, Medialuna"
2835,Coffee
2836,"Bread, Toast"
2837,Bread
2838,"Coffee, Coffee, Medialuna, Cake"
2839,Tea
2840,Tea
2841,"Coffee, Medialuna"
2842,Bread
2843,"Bread, Coffee"
2844,Bread
2845,"Bread, Brownie"
2846,Coffee
2847,"Tea, The Nomad"
2848,Fudge
2849,"Alfajores, Coffee"
2850,Bread
2851,"Coffee, Alfajores"
2852,"Brownie, Coffee"
2853,Bread
2854,"Jam, Fudge"
2855,Tea
2856,Coffee
2857,Coffee
2858,Bread
2859,Coffee
2860,Coffee
2861,"Medialuna, Cake"
2862,"Coffee, Cake"
2863,"Coffee, Coffee"
2865,"The Nomad, Tea, Bread, Brownie, Fudge, Fudge"
2866,"Scone, Tea"
2867,Bread
2868,"Sandwich, Bread, Mineral water, Coffee, Juice"
2869,"Bread, Bread, Scandinavian"
2870,Sandwich
2871,"Coffee, Brownie"
2872,"Hearty & Seasonal, Brownie, Bread"
2873,"Tea, Hearty & Seasonal"
2874,"Coffee, Brownie"
2875,"Coffee, Farm House"
2876,"Coffee, Scone"
2877,"Scone, Crepes, Alfajores, Alfajores"
2878,Scandinavian
2879,Cake
2880,Bread
2881,Bread
2882,"Bread, Tea"
2884,"Brownie, Mineral water"
2885,Farm House
2886,Coffee
2887,"Sandwich, Scone, Bread, Coffee"
2888,"Coffee, Hot chocolate, Tea, Alfajores, Sandwich"
2889,"Bread, Scone, Juice"
2890,Coffee
2891,Bread
2892,Bread
2893,"Coffee, Coffee, Toast, Pastry"
2894,"Bread, Focaccia"
2895,Scone
2896,Focaccia
2897,Scandinavian
2898,"Coffee, Tea"
2899,"Coffee, Coffee, Farm House"
2900,"Focaccia, Pastry"
2901,"Coffee, Pastry, Medialuna"
2902,"Sandwich, Bread"
2903,"Bread, Coffee, Medialuna, Medialuna, Jam"
2904,"Sandwich, Tea, Coffee"
2905,"Coffee, Farm House"
2906,Bread
2907,"Bread, Coffee"
2908,"Coffee, Coffee, Toast, Scandinavian"
2909,"Farm House, Bread, Medialuna"
2910,Bread
2911,Cake
2912,"Pastry, Coffee, Brownie"
2913,Bread
2914,"Coffee, Tea, Scone"
2915,"Coffee, Coffee"
2916,"Bread, Tea"
2917,"Coffee, Scone"
2918,"Farm House, Scandinavian"
2919,"Vegan mincepie, Cake"
2920,"Tea, Coffee"
2921,Bread
2922,Coffee
2923,Scandinavian
2924,Bread
2925,"Tea, Bread"
2926,"Medialuna, Pastry, Coffee"
2927,"Truffles, Juice"
2928,"Coffee, Jammie Dodgers, Art Tray"
2929,Frittata
2930,Bread
2931,"Sandwich, Coffee"
2932,"Coffee, Juice"
2933,"Tea, Sandwich"
2934,Jam
2935,Scone
2936,"Coffee, Sandwich"
2937,Coffee
2938,"Bread, Tea"
2939,"Frittata, Tea, Bread"
2940,Scandinavian
2941,"Sandwich, Art Tray, Truffles, Coffee"
2942,"Scone, Frittata, Juice"
2943,Tea
2944,"Coffee, Mineral water, Frittata"
2945,"Coffee, Tea"
2946,"Bread, Bread, Brownie, Scone"
2948,Coffee
2949,"Frittata, Sandwich, Coffee"
2950,Tea
2951,"Coffee, Tea"
2952,"Vegan mincepie, Coffee, Hot chocolate"
2953,Juice
2954,"Cake, Tea"
2955,Tea
2956,"Bread, Farm House"
2957,"Coffee, Tea, Bread, Mineral water, Scone, Bread"
2958,Bread
2959,"Bread, Hot chocolate, Hot chocolate"
2960,"Coke, Sandwich"
2961,"Sandwich, Mineral water"
2962,"Hot chocolate, Tea, Cake"
2963,Scandinavian
2964,"Frittata, Cake"
2966,Cake
2967,"Coffee, Bread"
2968,"Coffee, Tea, Bread"
2969,"Scone, Coffee"
2970,Bread
2971,Jam
2972,Bread
2973,"Coffee, Medialuna"
2974,"Bread, Farm House"
2975,Bread
2976,"Coffee, Pastry"
2977,"Bread, Coffee"
2978,"Medialuna, Coffee"
2979,"Scone, Bread"
2980,"Coffee, Coke"
2981,Coffee
2982,Truffles
2983,Bread
2984,Mineral water
2985,"Hot chocolate, Coffee, Bread, Toast, Medialuna, Alfajores, Fudge"
2986,Jam
2987,"Medialuna, Bakewell, Coffee, Bread, Toast"
2988,Coffee
2989,Bread
2990,"Coffee, Coffee, Bakewell, Medialuna"
2991,"Coffee, Coffee, Bread"
2992,Farm House
2993,Bread
2994,"Medialuna, Scone, Coffee, Coffee"
2995,Bread
2996,"Farm House, Coffee, Medialuna, Bread"
2997,Smoothies
2998,Coffee
3000,"Medialuna, Coffee"
3001,Mineral water
3002,"Bread, Mineral water, Hot chocolate"
3003,"Sandwich, Tea"
3004,"Coffee, Cookies"
3005,"Alfajores, Alfajores"
3006,"Vegan mincepie, Bread, Coffee"
3007,Coffee
3008,Medialuna
3009,"Coffee, Frittata, Toast"
3010,"Coffee, Hot chocolate, Muffin"
3011,"Coffee, Scandinavian"
3013,"Bakewell, Tea"
3015,Coffee
3017,"Frittata, Coffee"
3018,Scandinavian
3019,"Coffee, Coffee"
3020,"Coffee, Tea"
3021,Scandinavian
3022,Bread
3023,Tea
3024,Bread
3025,"Bread, Medialuna"
3026,"Pastry, Toast, Coffee"
3027,"Coffee, Pastry"
3028,Tea
3029,"Coffee, Toast"
3030,Coffee
3031,"Jam, Coffee, Hot chocolate, Toast"
3032,"Coffee, Sandwich"
3033,"Bread, Tea, Bakewell, Alfajores"
3034,"Bread, Coffee, Cake"
3035,Bread
3036,Bread
3037,"Coffee, Coffee, Bakewell, Cake"
3038,Bread
3039,"Coffee, Medialuna"
3040,Bread
3041,"Bread, Vegan mincepie"
3042,"Coffee, Bread, Vegan mincepie, Cake"
3043,Bread
3044,Sandwich
3045,"Pastry, Bread"
3046,"Cake, Vegan mincepie, Coffee, Coffee, Mineral water, Mineral water"
3047,Jam
3048,Bread
3049,"Frittata, Coffee"
3050,"Coffee, Coffee"
3051,Bread
3052,Sandwich
3053,"Sandwich, Bread, Truffles, Coffee"
3054,"Tea, Toast"
3055,Coffee
3056,Cake
3058,"Coffee, Bread, Bread, Bread"
3059,Fudge
3060,"Jam, Jam"
3061,Bread
3062,Coffee
3063,"Tea, Bread, Hot chocolate, Vegan mincepie, Bread"
3064,"Juice, Cake, Jammie Dodgers, Bread"
3065,Bread
3066,"Vegan mincepie, Tea"
3067,"Coffee, Pastry"
3068,"Scandinavian, Vegan mincepie"
3069,Bread
3070,"Coffee, Fudge, Jam, Fudge, Fudge"
3071,"Jam, Coffee, Coffee"
3073,"Coffee, Coffee"
3074,"Coffee, Cookies, Pastry"
3075,"Medialuna, Bread"
3076,"Coffee, Art Tray"
3077,"Tea, Tea, Toast"
3078,Coke
3079,"Coffee, Bread"
3080,"Bakewell, Farm House"
3081,"Bread, Tea, Coffee, Alfajores, Hot chocolate"
3082,Farm House
3083,"Coffee, Bread"
3084,"Coffee, Toast, Scandinavian"
3085,"Bread, Vegan mincepie"
3086,Bread
3087,Coffee
3088,"Coffee, Bread, Alfajores"
3089,Coffee
3090,Bread
3091,Medialuna
3092,Coffee
3093,"Frittata, Tea, Coffee"
3094,Tea
3095,"Tea, Bakewell"
3096,Farm House
3097,"Coffee, Pastry, Medialuna"
3098,"Coffee, Coffee, Sandwich"
3099,"Coffee, Medialuna"
3100,"Coffee, Pastry"
3101,"Muffin, Bread, Bread, Coffee"
3102,"Coffee, Bakewell"
3103,Bread
3104,Coffee
3105,Bread
3106,"Coffee, Coffee, Alfajores"
3107,"Bread, Truffles, Coffee, Truffles, Scandinavian"
3108,"Tea, Cake"
3109,Jam
3110,"Fudge, Jam, Jam"
3111,Bread
3112,Coffee
3113,"Tea, Coffee"
3114,"Coffee, Tea, Toast"
3115,Coffee
3116,Bread
3117,Coffee
3118,Coffee
3119,Bread
3120,Bread
3121,Fudge
3122,Coffee
3123,"Coffee, Tea"
3124,"Coffee, Coffee, Farm House"
3125,"Medialuna, Muffin, Coffee, Juice"
3126,Coffee
3127,"Coffee, Bread, Bread"
3128,"Coffee, Coffee, Bread, Muffin"
3129,"Vegan mincepie, Coffee, Tea"
3130,"Alfajores, Coffee"
3131,"Coffee, Coffee, Medialuna"
3133,"Bread, Tea"
3134,Coffee
3135,Coffee
3136,"Bread, Pastry"
3137,Bread
3138,Farm House
3139,"Bread, Alfajores"
3141,Coffee
3142,Jam
3143,Coffee
3144,Pastry
3145,Tea
3146,"Coffee, Coffee"
3147,"Coffee, Toast"
3148,Coffee
3149,"Coke, Truffles"
3150,"Sandwich, Tea, Coffee"
3151,Tea
3152,Coke
3153,"Bread, Sandwich, Bread"
3154,"Juice, Bread, Art Tray, Toast"
3155,"Tea, Bread"
3156,"Coffee, Alfajores"
3157,"Hot chocolate, Hot chocolate, Toast, Pastry"
3158,"Sandwich, Tea, Juice, Vegan mincepie"
3159,Bread
3160,"Alfajores, Muffin"
3161,"Coffee, Jammie Dodgers"
3162,"Jammie Dodgers, Bread"
3163,"Tea, Coffee, Jammie Dodgers, Cake, Bread"
3164,"Coffee, Coffee"
3165,"Bread, Pastry, Medialuna"
3166,"Alfajores, Pastry"
3167,"Medialuna, Toast, Coffee"
3168,"Bread, Tea, Pastry"
3169,Bread
3170,Coffee
3171,"Bread, Hot chocolate"
3172,Bread
3173,Pastry
3174,"Coffee, Coffee"
3175,Bread
3176,"Coffee, Hot chocolate"
3177,Farm House
3178,Coffee
3179,"Coffee, Coffee"
3180,Coffee
3181,Dulce de Leche
3182,"Pastry, Farm House"
3183,"Bread, Vegan mincepie, Bread"
3184,Bread
3185,"Coffee, Hot chocolate, Pastry"
3186,"Coffee, Vegan mincepie, Pastry"
3187,Bread
3188,"Bread, Bread"
3189,"Coffee, Hot chocolate"
3190,"Bread, Sandwich, Coffee"
3191,Bread
3192,"Coffee, Coffee, Hot chocolate"
3193,Coffee
3194,Coffee
3195,"Sandwich, Coke"
3196,Coffee
3197,"Coffee, Bread"
3198,Bread
3199,Coffee
3200,"Coffee, Coffee"
3201,"Coffee, Fudge"
3202,"Coffee, Sandwich, Tea, Bread"
3203,"Coffee, Coffee, Sandwich"
3204,Bread
3205,"Bread, Coffee"
3206,"Coffee, Coffee, Hot chocolate"
3207,Fudge
3208,Coffee
3209,"Coffee, Bread"
3210,"Bread, Bread"
3211,Cookies
3212,Bread
3213,"Coffee, Bread, Bread, Alfajores"
3214,Tea
3215,"Bare Popcorn, Ella's Kitchen Pouches"
3216,Farm House
3217,"Bread, Fudge, Pastry"
3218,Hot chocolate
3219,"Tea, Vegan mincepie, Jammie Dodgers, Coffee, Medialuna"
3220,Coffee
3221,"Hot chocolate, Coffee"
3222,Bread
3223,Vegan mincepie
3224,"Medialuna, Dulce de Leche"
3225,Muesli
3226,Muesli
3227,"Coffee, Jam, Jam"
3228,"Bread, Toast"
3229,"Bread, Toast"
3230,Coffee
3231,"Jammie Dodgers, Vegan mincepie"
3232,Coffee
3233,Bread
3234,"Coffee, Coffee, Bread"
3235,Tea
3236,Coffee
3237,"Coffee, Coffee, Juice, Farm House"
3238,"Coffee, Pastry"
3239,Bread
3240,Coffee
3241,Coffee
3242,Coffee
3243,"Tea, Pastry"
3244,"Cookies, Coffee, Coffee, Toast"
3245,"Pastry, Tea"
3246,"Tea, Coffee, Coffee, Toast"
3247,Bread
3248,Bread
3249,Coffee
3250,"Coffee, Coffee"
3251,Pastry
3252,Bread
3253,"Scandinavian, Coffee, Alfajores"
3255,"Truffles, Ella's Kitchen Pouches, Bread"
3256,"Tea, Fudge, Fudge, Jam, Juice, Ella's Kitchen Pouches"
3257,Cake
3258,"Bread, Cookies"
3259,"Coffee, Cake"
3260,"Coffee, Tea, Toast"
3261,Truffles
3262,Bread
3263,Coffee
3264,Bread
3265,Bread
3266,Truffles
3267,"Toast, Bread, Tea, Cookies"
3268,"Sandwich, Coffee, Coffee"
3270,"Bread, Sandwich"
3271,Alfajores
3272,Scone
3274,"Bread, Coffee, Alfajores, Vegan mincepie"
3275,Fudge
3276,Jam
3277,"Coffee, Pastry, Jam"
3278,Coffee
3279,"Tea, Bread, Bread, Fudge"
3280,"Bread, Sandwich"
3281,Farm House
3282,Coffee
3283,"Jam, Jam"
3284,"Brownie, Coffee"
3285,"Tea, Sandwich, Bread"
3286,Tea
3287,"Sandwich, Tea"
3288,Coffee
3289,Coffee
3290,Bread
3291,"Tea, Brownie"
3292,Jam
3293,Jam
3294,"Cookies, Sandwich, Juice"
3295,"Tea, Pastry"
3296,Farm House
3297,"Scone, Coffee"
3298,"Coffee, Coffee"
3299,"Coffee, Coffee, Vegan mincepie"
3300,"Bread, Scone"
3301,"Farm House, Scone"
3303,"Coffee, Brownie"
3304,"Coffee, Tea"
3305,Coffee
3306,"Tea, Coffee"
3307,Bread
3309,"Coffee, Coffee, Coffee, Alfajores"
3310,"Farm House, Medialuna, Pastry"
3311,Bread
3312,Bread
3313,"Coffee, Pastry"
3314,Bread
3315,"Bread, Bread, Pastry"
3316,"Medialuna, Fudge"
3317,Bread
3318,"Coffee, Scone, Juice"
3319,Coffee
3320,"Tea, Scone, Lemon and coconut"
3321,"Jam, Cookies, Fudge"
3322,Bread
3323,Scandinavian
3324,"Coffee, Cookies, Juice"
3325,"Hot chocolate, Coffee, Bread, Bread, Vegan mincepie"
3326,Jam
3327,Bread
3328,"Coffee, Coffee"
3329,"Dulce de Leche, Scandinavian, Alfajores"
3330,"Coffee, Bread, Pastry, Medialuna, Farm House"
3331,"Hot chocolate, Scone"
3332,"Fudge, Jam, Bread, Farm House"
3333,"Coffee, The Nomad"
3334,Vegan mincepie
3335,Bread
3336,Bread
3337,"Bread, Scone"
3338,Cake
3339,Bread
3340,"Vegan mincepie, Cake, Coffee, Coffee, Coffee"
3341,"Coffee, Coffee, Medialuna"
3342,Bread
3343,Jam
3344,"Medialuna, Pastry, Coffee, Coffee, Coffee"
3346,Bread
3347,Bread
3348,"Bread, Scone, Bread, The Nomad"
3349,"Coffee, Tea"
3350,Bread
3351,"Frittata, Tea, Tea"
3352,"Coffee, Vegan mincepie"
3353,Bread
3354,"Coffee, Bread"
3355,"Scone, Coffee"
3356,"Farm House, Frittata, Cookies"
3357,Farm House
3358,Farm House
3359,"Jam, Fudge"
3360,Coffee
3361,"Frittata, Sandwich, Bread, Alfajores, Medialuna, Fudge"
3362,Cake
3363,"Juice, Cookies, Coffee"
3364,"Coffee, Coffee"
3366,"Bread, Pastry"
3367,"Hot chocolate, Tea"
3368,Crisps
3369,Bread
3370,Cake
3371,"Focaccia, Tea, Tea, Scone"
3372,"Coffee, Scone"
3373,Cake
3374,Vegan mincepie
3375,"Coffee, Coffee"
3376,"Tea, Vegan mincepie"
3377,Focaccia
3378,Coke
3379,Pintxos
3380,Pintxos
3381,Juice
3382,Coke
3383,Pintxos
3384,Pintxos
3385,Pintxos
3386,"Coke, Pintxos"
3387,"Hot chocolate, Hot chocolate"
3388,Medialuna
3389,Coffee
3390,"Coffee, Bread"
3391,Coffee
3392,Bread
3393,"Coffee, Cookies, Bread, Toast"
3394,"Coffee, Brownie, Medialuna"
3395,"Hot chocolate, Coffee, Brownie"
3396,"Tea, Hot chocolate"
3397,"Tea, Scone, Bread"
3398,"Medialuna, Coffee, Coffee"
3399,"Bread, Coffee, Hot chocolate, Coffee, Pastry, Scone"
3400,"Muesli, The Nomad, Coffee, Bread"
3401,Bread
3402,Fudge
3403,Bread
3404,"Coffee, Coffee"
3405,Bread
3406,Bread
3407,"Coffee, Brownie, Vegan mincepie"
3408,Dulce de Leche
3409,"Coffee, Coffee"
3410,Coffee
3411,Farm House
3412,Coffee
3413,"Coffee, Brownie"
3414,Coffee
3415,"Coffee, Hot chocolate, Vegan mincepie"
3416,Bread
3417,"Coffee, Frittata"
3418,"Medialuna, Coffee"
3419,"Coffee, Juice, Mineral water, Medialuna, Crisps, Frittata"
3420,Coffee
3421,"Coffee, Cookies"
3422,Bread
3423,Bread
3424,"Coffee, Coffee, Cake, Bread, Dulce de Leche, Bread"
3425,"Coffee, Hot chocolate, Bread"
3426,Coke
3427,Fudge
3428,Fudge
3429,"Tea, Juice, Cake, Tartine"
3430,"Brownie, Medialuna, Hot chocolate, Coffee"
3431,Coffee
3432,Bread
3433,"Coffee, Bread"
3434,"Coffee, Hot chocolate, Coffee, Cookies, Vegan mincepie"
3435,"Coffee, Medialuna"
3436,"Cookies, Hot chocolate"
3437,Coffee
3438,Coffee
3439,Tea
3440,"Coffee, Bread"
3441,Hot chocolate
3442,Coffee
3443,"Bread, Medialuna"
3444,Coffee
3445,Bread
3446,"Coffee, Tea, Pastry"
3447,"Medialuna, Coffee, Coffee"
3448,"Coffee, Hot chocolate"
3449,"Fudge, Jam, Fudge, Fudge"
3450,"Hot chocolate, Smoothies, Bread, Cookies, Cookies"
3451,"Coffee, Tea, Toast, Brownie"
3452,"Coffee, Coffee"
3453,Coffee
3454,Farm House
3455,Tea
3456,Bread
3457,"Bread, Coffee, Coffee, Bread"
3458,Tea
3459,Coffee
3460,"Coffee, Fudge, Brownie"
3461,Coffee
3462,"Coffee, Bread"
3463,"Coffee, Medialuna"
3464,Farm House
3465,"Fudge, Coffee, Sandwich"
3466,"Toast, Cookies"
3467,"Sandwich, Coffee, Bread"
3468,"Focaccia, Scandinavian"
3469,"Truffles, Hearty & Seasonal"
3470,"Coffee, Coffee"
3471,"Sandwich, Sandwich"
3472,"Hearty & Seasonal, Coffee, Bread"
3473,"Bread, Cake"
3474,"Tea, Bread"
3475,Bread
3476,"Cookies, Bread"
3477,Coffee
3478,Coffee
3479,"Tea, Sandwich"
3480,"Bread, Brownie"
3481,"Tea, Coffee"
3482,Coffee
3483,"Coffee, Cookies"
3484,"Cake, Bread"
3485,Coffee
3486,"Mineral water, Coke, Bread, Sandwich"
3487,"Juice, Bread"
3488,Coffee
3489,"Truffles, Tea, Cake"
3490,"Coffee, Scone, Brownie"
3491,Tea
3492,"Sandwich, Juice, Tea"
3493,Coffee
3494,"Cake, Sandwich, Sandwich, Bread"
3495,"Coffee, Coffee"
3496,"Sandwich, Coffee"
3497,"Juice, Tea, Bread"
3498,Brownie
3499,Fudge
3500,Tea
3501,Tea
3502,"Truffles, Sandwich"
3503,"Medialuna, Hot chocolate, Bread, Coffee"
3504,Medialuna
3505,"Coffee, Coffee"
3506,Coffee
3507,Tea
3508,Bread
3509,Bread
3510,"Tea, Coke, Cake, Brownie, Bread"
3512,Bread
3513,"Tea, Tea, Medialuna, Cookies, Bread"
3514,Coffee
3515,"Sandwich, Bread, Tea"
3516,"Bread, Toast, Medialuna"
3517,"Pastry, Medialuna"
3518,Coffee
3519,Coffee
3520,"Coffee, Coffee, Pastry"
3521,Cookies
3522,Cookies
3523,Bread
3524,Coffee
3525,"Coffee, Coffee, Pastry"
3526,Bread
3527,"Cookies, Cake, Coffee, Hot chocolate"
3529,"Pastry, Medialuna, Pastry, Coffee, Coffee, Hot chocolate, The Nomad, Toast"
3530,"Coffee, Cake, Bread"
3531,Tea
3532,"Coffee, Cake"
3533,Coffee
3534,"Coffee, Cake"
3535,"Toast, Coffee"
3536,Coffee
3537,"Hot chocolate, Cake"
3538,"Hearty & Seasonal, Juice"
3539,Coffee
3540,"Hearty & Seasonal, Coffee"
3541,"Farm House, Cake"
3542,"Coffee, Bread, Farm House"
3543,Sandwich
3545,Bread
3546,"Coffee, Brownie"
3547,"Sandwich, Juice, Juice"
3548,Coffee
3549,Coffee
3550,Tea
3551,Coffee
3552,Hot chocolate
3554,"Cake, Coffee"
3555,Bread
3556,Bread
3557,"Coffee, Hot chocolate"
3558,Coffee
3559,"Coffee, Bread"
3560,"Coffee, Cake"
3561,Coffee
3562,Farm House
3563,Coffee
3564,Bread
3565,Coffee
3566,Farm House
3567,Scandinavian
3568,Bread
3570,"Bread, Pastry"
3571,Coffee
3572,Coffee
3573,"Coffee, Bread, Pastry"
3574,"Coffee, Bread"
3575,"Coffee, Coffee, Medialuna"
3576,"Jam, Fudge, Medialuna"
3577,Tea
3578,"Bread, Bread"
3579,Bread
3580,"Pastry, Coffee, Coffee, Coffee"
3581,Coffee
3582,Bread
3583,"Coffee, Coffee"
3584,"Coffee, Cookies"
3585,Coffee
3586,Coffee
3587,"Pastry, Coffee, Coffee"
3588,Bread
3589,"Fudge, Coffee"
3590,"Hot chocolate, Cake"
3591,"Muffin, Coffee"
3592,"Coffee, Coffee, Medialuna"
3593,Gingerbread syrup
3594,"Coffee, Coffee"
3595,"Sandwich, Coffee"
3596,Bread
3597,Coffee
3598,"Coke, Coffee, Juice"
3599,Medialuna
3600,Bread
3601,"Coffee, Pastry"
3602,"Coffee, Cake, Bread"
3603,Coffee
3605,Bread
3606,Bread
3608,"Tea, Coffee, Toast"
3609,"Sandwich, Smoothies"
